train_id;wagon_id;arrival_time;length;is_loaded;needs_retrofit;Track
T1;W11188;2025-12-01T06:00:00+00:00;34.03;false;True;collection
T1;W10437;2025-12-01T06:00:00+00:00;19.9;false;True;collection
T2;W12394;2025-12-01T07:22:15+00:00;20.82;false;True;collection
T2;W9278;2025-12-01T07:22:15+00:00;17.9;false;True;collection
T3;W3926;2025-12-01T08:22:30+00:00;19.9;false;True;collection
T3;W5834;2025-12-01T08:22:30+00:00;14.04;false;True;collection
T4;W9460;2025-12-01T09:01:30+00:00;15.04;false;True;collection
T4;W9445;2025-12-01T09:01:30+00:00;14.9;false;True;collection
T5;W10704;2025-12-01T11:12:45+00:00;14.04;false;True;collection
T5;W3675;2025-12-01T11:12:45+00:00;19.9;false;True;collection
T6;W7132;2025-12-01T11:55:00+00:00;11.6;false;True;collection
T6;W8934;2025-12-01T11:55:00+00:00;22.5;false;True;collection
T6;W6253;2025-12-01T11:55:00+00:00;14.04;false;True;collection
T6;W7747;2025-12-01T11:55:00+00:00;16.0;false;True;collection
T6;W10546;2025-12-01T11:55:00+00:00;19.6;false;True;collection
T6;W7222;2025-12-01T11:55:00+00:00;11.6;false;True;collection
T7;W0689;2025-12-01T12:04:30+00:00;28.52;false;True;collection
T8;W11268;2025-12-01T12:05:00+00:00;12.74;false;True;collection
T8;W11509;2025-12-01T12:05:00+00:00;26.35;false;True;collection
T8;W6557;2025-12-01T12:05:00+00:00;15.74;false;True;collection
T9;W10356;2025-12-01T12:33:15+00:00;22.86;false;True;collection
T10;W6006;2025-12-01T13:05:30+00:00;14.29;false;True;collection
T10;W4440;2025-12-01T13:05:30+00:00;19.9;false;True;collection
T10;W10383;2025-12-01T13:05:30+00:00;19.9;false;True;collection
T11;W2238;2025-12-01T14:26:00+00:00;15.8;false;True;collection
T11;W0047;2025-12-01T14:26:00+00:00;9.64;false;True;collection
T11;W0049;2025-12-01T14:26:00+00:00;9.64;false;True;collection
T12;W2535;2025-12-01T14:54:45+00:00;19.04;false;True;collection
T12;W7970;2025-12-01T14:54:45+00:00;22.8;false;True;collection
T12;W4849;2025-12-01T14:54:45+00:00;12.04;false;True;collection
T13;W2967;2025-12-01T17:31:15+00:00;23.24;false;True;collection
T13;W9776;2025-12-01T17:31:15+00:00;23.3;false;True;collection
T13;W12208;2025-12-01T17:31:15+00:00;23.24;false;True;collection
T13;W11348;2025-12-01T17:31:15+00:00;16.5;false;True;collection
T14;W12037;2025-12-01T18:08:45+00:00;23.24;false;True;collection
T14;W0440;2025-12-01T18:08:45+00:00;14.02;false;True;collection
T14;W11988;2025-12-01T18:08:45+00:00;23.24;false;True;collection
T14;W12260;2025-12-01T18:08:45+00:00;23.24;false;True;collection
T14;W0130;2025-12-01T18:08:45+00:00;15.5;false;True;collection
T14;W9352;2025-12-01T18:08:45+00:00;16.1;false;True;collection
T14;W2980;2025-12-01T18:08:45+00:00;23.24;false;True;collection
T14;W2406;2025-12-01T18:08:45+00:00;16.0;false;True;collection
T14;W2399;2025-12-01T18:08:45+00:00;15.8;false;True;collection
T15;W9868;2025-12-02T00:39:00+00:00;23.26;false;True;collection
T15;W12060;2025-12-02T00:39:00+00:00;23.24;false;True;collection
T15;W12210;2025-12-02T00:39:00+00:00;23.24;false;True;collection
T15;W8636;2025-12-02T00:39:00+00:00;23.24;false;True;collection
T15;W10949;2025-12-02T00:39:00+00:00;14.4;false;True;collection
T15;W1078;2025-12-02T00:39:00+00:00;14.27;false;False;collection
T15;W8631;2025-12-02T00:39:00+00:00;23.2;false;True;collection
T16;W9392;2025-12-02T01:09:00+00:00;14.4;false;True;collection
T16;W9274;2025-12-02T01:09:00+00:00;17.9;false;True;collection
T16;W8613;2025-12-02T01:09:00+00:00;23.86;false;True;collection
T16;W10130;2025-12-02T01:09:00+00:00;22.24;false;True;collection
T16;W9721;2025-12-02T01:09:00+00:00;14.4;false;True;collection
T16;W9756;2025-12-02T01:09:00+00:00;23.3;false;True;collection
T17;W11467;2025-12-02T02:42:30+00:00;26.35;false;True;collection
T17;W10354;2025-12-02T02:42:30+00:00;22.86;false;True;collection
T17;W3926;2025-12-02T02:42:30+00:00;19.9;false;True;collection
T17;W3950;2025-12-02T02:42:30+00:00;19.9;false;True;collection
T17;W7997;2025-12-02T02:42:30+00:00;22.35;false;True;collection
T17;W8626;2025-12-02T02:42:30+00:00;23.86;false;True;collection
T18;W9174;2025-12-02T04:07:15+00:00;17.0;false;True;collection
T18;W9169;2025-12-02T04:07:15+00:00;17.0;false;True;collection
T18;W9173;2025-12-02T04:07:15+00:00;17.0;false;True;collection
T19;W6140;2025-12-02T05:27:00+00:00;14.04;false;True;collection
T20;W10364;2025-12-02T06:53:30+00:00;19.9;false;True;collection
T20;W6077;2025-12-02T06:53:30+00:00;14.04;false;True;collection
T21;W9270;2025-12-02T07:10:00+00:00;16.1;false;True;collection
T21;W9276;2025-12-02T07:10:00+00:00;17.9;false;True;collection
T21;W11578;2025-12-02T07:10:00+00:00;20.44;false;True;collection
T22;W0623;2025-12-02T08:45:15+00:00;29.57;false;True;collection
T22;W11970;2025-12-02T08:45:15+00:00;23.24;false;True;collection
T23;W3173;2025-12-02T11:38:00+00:00;20.0;false;True;collection
T23;W5038;2025-12-02T11:38:00+00:00;20.84;false;True;collection
T23;W11261;2025-12-02T11:38:00+00:00;12.74;false;True;collection
T23;W11259;2025-12-02T11:38:00+00:00;12.74;false;True;collection
T23;W5167;2025-12-02T11:38:00+00:00;16.4;false;True;collection
T23;W4666;2025-12-02T11:38:00+00:00;22.4;false;True;collection
T23;W11269;2025-12-02T11:38:00+00:00;12.74;false;True;collection
T23;W3811;2025-12-02T11:38:00+00:00;19.9;false;True;collection
T23;W2926;2025-12-02T11:38:00+00:00;23.264;false;True;collection
T23;W5391;2025-12-02T11:38:00+00:00;16.4;false;True;collection
T23;W6682;2025-12-02T11:38:00+00:00;15.74;false;True;collection
T23;W11256;2025-12-02T11:38:00+00:00;12.74;false;True;collection
T23;W10892;2025-12-02T11:38:00+00:00;12.74;false;True;collection
T24;W1906;2025-12-02T11:49:45+00:00;19.9;false;True;collection
T24;W3926;2025-12-02T11:49:45+00:00;19.9;false;True;collection
T25;W1158;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1139;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1149;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1150;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1151;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1152;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1156;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1174;2025-12-02T11:58:00+00:00;12.34;false;True;collection
T25;W1161;2025-12-02T11:58:00+00:00;12.24;false;True;collection
T26;W11254;2025-12-02T13:38:00+00:00;12.74;false;True;collection
T26;W10878;2025-12-02T13:38:00+00:00;12.74;false;True;collection
T26;W10889;2025-12-02T13:38:00+00:00;12.74;false;True;collection
