train_id;wagon_id;arrival_time;length;is_loaded;needs_retrofit;Track
T1;W10437;2025-12-01T06:00:00+00:00;19.9;false;True;collection
T1;W11188;2025-12-01T06:00:00+00:00;34.03;false;True;collection
T2;W12394;2025-12-01T11:29:00+00:00;20.82;false;True;collection
T2;W9278;2025-12-01T11:29:00+00:00;17.9;false;True;collection
T3;W3926;2025-12-01T15:30:00+00:00;19.9;false;True;collection
T3;W5834;2025-12-01T15:30:00+00:00;14.04;false;True;collection
T4;W9460;2025-12-01T18:06:00+00:00;15.04;false;True;collection
T4;W9445;2025-12-01T18:06:00+00:00;14.9;false;True;collection
T5;W3675;2025-12-02T02:51:00+00:00;19.9;false;True;collection
T5;W10704;2025-12-02T02:51:00+00:00;14.04;false;True;collection
T6;W8934;2025-12-02T05:40:00+00:00;22.5;false;True;collection
T6;W10546;2025-12-02T05:40:00+00:00;19.6;false;True;collection
T6;W7747;2025-12-02T05:40:00+00:00;16.0;false;True;collection
T6;W7222;2025-12-02T05:40:00+00:00;11.6;false;True;collection
T6;W7132;2025-12-02T05:40:00+00:00;11.6;false;True;collection
T6;W6253;2025-12-02T05:40:00+00:00;14.04;false;True;collection
T7;W0689;2025-12-02T06:18:00+00:00;28.52;false;True;collection
T8;W11268;2025-12-02T06:20:00+00:00;12.74;false;True;collection
T8;W11509;2025-12-02T06:20:00+00:00;26.35;false;True;collection
T8;W6557;2025-12-02T06:20:00+00:00;15.74;false;True;collection
T9;W10356;2025-12-02T08:13:00+00:00;22.86;false;True;collection
T10;W10383;2025-12-02T10:22:00+00:00;19.9;false;True;collection
T10;W6006;2025-12-02T10:22:00+00:00;14.29;false;True;collection
T10;W4440;2025-12-02T10:22:00+00:00;19.9;false;True;collection
T11;W0047;2025-12-02T15:44:00+00:00;9.64;false;True;collection
T11;W2238;2025-12-02T15:44:00+00:00;15.8;false;True;collection
T11;W0049;2025-12-02T15:44:00+00:00;9.64;false;True;collection
T12;W7970;2025-12-02T17:39:00+00:00;22.8;false;True;collection
T12;W2535;2025-12-02T17:39:00+00:00;19.04;false;True;collection
T12;W4849;2025-12-02T17:39:00+00:00;12.04;false;True;collection
T13;W12208;2025-12-03T04:05:00+00:00;23.24;false;True;collection
T13;W11348;2025-12-03T04:05:00+00:00;16.5;false;True;collection
T13;W2967;2025-12-03T04:05:00+00:00;23.24;false;True;collection
T13;W9776;2025-12-03T04:05:00+00:00;23.3;false;True;collection
T14;W2399;2025-12-03T06:35:00+00:00;15.8;false;True;collection
T14;W2406;2025-12-03T06:35:00+00:00;16.0;false;True;collection
T14;W0440;2025-12-03T06:35:00+00:00;14.02;false;True;collection
T14;W11988;2025-12-03T06:35:00+00:00;23.24;false;True;collection
T14;W9352;2025-12-03T06:35:00+00:00;16.1;false;True;collection
T14;W12260;2025-12-03T06:35:00+00:00;23.24;false;True;collection
T14;W2980;2025-12-03T06:35:00+00:00;23.24;false;True;collection
T14;W12037;2025-12-03T06:35:00+00:00;23.24;false;True;collection
T14;W0130;2025-12-03T06:35:00+00:00;15.5;false;True;collection
T15;W9868;2025-12-04T08:36:00+00:00;23.26;false;True;collection
T15;W8631;2025-12-04T08:36:00+00:00;23.2;false;True;collection
T15;W1078;2025-12-04T08:36:00+00:00;14.27;false;False;collection
T15;W8636;2025-12-04T08:36:00+00:00;23.24;false;True;collection
T15;W12210;2025-12-04T08:36:00+00:00;23.24;false;True;collection
T15;W12060;2025-12-04T08:36:00+00:00;23.24;false;True;collection
T15;W10949;2025-12-04T08:36:00+00:00;14.4;false;True;collection
T16;W10130;2025-12-04T10:36:00+00:00;22.24;false;True;collection
T16;W9274;2025-12-04T10:36:00+00:00;17.9;false;True;collection
T16;W8613;2025-12-04T10:36:00+00:00;23.86;false;True;collection
T16;W9756;2025-12-04T10:36:00+00:00;23.3;false;True;collection
T16;W9392;2025-12-04T10:36:00+00:00;14.4;false;True;collection
T16;W9721;2025-12-04T10:36:00+00:00;14.4;false;True;collection
T17;W8626;2025-12-04T16:50:00+00:00;23.86;false;True;collection
T17;W10354;2025-12-04T16:50:00+00:00;22.86;false;True;collection
T17;W7997;2025-12-04T16:50:00+00:00;22.35;false;True;collection
T17;W11467;2025-12-04T16:50:00+00:00;26.35;false;True;collection
T17;W3950;2025-12-04T16:50:00+00:00;19.9;false;True;collection
